id,stationName,latitude,longitude,neighbourhood,availableDocks,totalDocks,city,color,borough
3323,W 106 St & Central Park West,40.798185600000004,-73.96059090060001,Central Park,53,59,NYC,#A6D878,Manhattan
3324,3 Ave & 14 St,40.6685455,-73.99333264,Carroll Gardens,1,25,NYC,#00953D,Brooklyn
3326,Clinton St & Centre St,40.67434,-74.00194698,Red Hook,2,21,NYC,#9CC925,Brooklyn
3327,3 Ave & E 100 St,40.787721399999995,-73.94728331,Upper East Side,19,27,NYC,#3FCAE6,Manhattan
3328,W 100 St & Manhattan Ave,40.795,-73.9645,Upper West Side,36,39,NYC,#FFBF00,Manhattan
3329,Degraw St & Smith St,40.6829151,-73.99318208,Cobble Hill Historic District,1,27,NYC,#893D39,Brooklyn
3330,Henry St & Bay St,40.672505799999996,-74.00494695,Red Hook,5,19,NYC,#9CC925,Brooklyn
3331,Riverside Dr & W 104 St,40.8013434,-73.97114574390001,Upper West Side,34,39,NYC,#FFBF00,Manhattan
3332,Degraw St & Hoyt St,40.68199044270703,-73.99079024791719,Gowanus,11,19,NYC,#BAA891,Brooklyn
3333,Columbia St & Lorraine St,40.6747055,-74.00755720000001,Red Hook,2,21,NYC,#9CC925,Brooklyn
3335,Union St & 4 Ave,40.6772744,-73.98282002,Park Slope,0,28,NYC,#FAF6E0,Brooklyn
3336,E 97 St & Madison Ave,40.787801,-73.953559,East Harlem,40,41,NYC,#D05E56,Manhattan
3337,Dwight St & Van Dyke St,40.67363551341504,-74.01195555925368,Red Hook,0,23,NYC,#9CC925,Brooklyn
3338,2 Ave & E 99 St,40.786258600000004,-73.94552579,East Harlem,22,31,NYC,#D05E56,Manhattan
3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,Park Slope,2,23,NYC,#FAF6E0,Brooklyn
3340,Wolcott St & Dwight St,40.6753274,-74.0100698,Red Hook,0,21,NYC,#9CC925,Brooklyn
3341,Central Park West & W 102 St,40.795346,-73.96186,Central Park,40,41,NYC,#A6D878,Manhattan
3342,Pioneer St & Richards St,40.677774799999995,-74.0094613,Red Hook,0,23,NYC,#9CC925,Brooklyn
3343,W 107 St & Columbus Ave,40.7997568,-73.9621128676,Upper West Side,23,23,NYC,#FFBF00,Manhattan
3344,Pioneer St & Van Brunt St,40.679043,-74.011169,Red Hook,0,19,NYC,#9CC925,Brooklyn
3345,Madison Ave & E 99 St,40.78948541553215,-73.9524292945862,East Harlem,34,35,NYC,#D05E56,Manhattan
3346,Berkeley Pl & 7 Ave,40.675146838709786,-73.9752320945263,Park Slope,11,29,NYC,#FAF6E0,Brooklyn
3347,Van Brunt St & Wolcott St,40.6773429,-74.01275056,Red Hook,0,21,NYC,#9CC925,Brooklyn
3348,Coffey St & Conover St,40.677236,-74.015665,Red Hook,1,19,NYC,#9CC925,Brooklyn
3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,Park Slope,6,30,NYC,#FAF6E0,Brooklyn
3350,W 100 St & Broadway,40.797372100000004,-73.97041192,Upper West Side,36,39,NYC,#FFBF00,Manhattan
3351,E 102 St & 1 Ave,40.7869946,-73.94164802,East Harlem,17,25,NYC,#D05E56,Manhattan
3352,Sigourney St & Columbia St,40.67267243410948,-74.00879524648191,Red Hook,3,21,NYC,#9CC925,Brooklyn
3354,3 St & Prospect Park West,40.668132,-73.97363831,Park Slope,12,31,NYC,#FAF6E0,Brooklyn
3355,E 66 St & Madison Ave,40.768008893059466,-73.96845281124116,Upper East Side,3,3,NYC,#3FCAE6,Manhattan
3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,Hell's Kitchen,18,21,NYC,#AD78C0,Manhattan
3357,W 106 St & Amsterdam Ave,40.80083629999999,-73.9664492472,Upper West Side,32,35,NYC,#FFBF00,Manhattan
3358,Garfield Pl & 8 Ave,40.671197799999995,-73.97484126,Park Slope,20,25,NYC,#FAF6E0,Brooklyn
3359,E 68 St & Madison Ave,40.7691572,-73.96703464,Upper East Side,29,35,NYC,#3FCAE6,Manhattan
3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,Upper West Side,16,25,NYC,#FFBF00,Manhattan
3361,Carroll St & 6 Ave,40.6740886,-73.9787282,Park Slope,7,23,NYC,#FAF6E0,Brooklyn
3362,Madison Ave & E 82 St,40.7781314,-73.96069399,Yorkville,33,34,NYC,#797D88,Manhattan
3363,E 102 St & Park Ave,40.7904828,-73.95033068,East Harlem,33,33,NYC,#D05E56,Manhattan
3364,Carroll St & 5 Ave,40.6751622,-73.9814832,Park Slope,5,27,NYC,#FAF6E0,Brooklyn
3365,3 St & 7 Ave,40.67038370000001,-73.97839676,Park Slope,11,27,NYC,#FAF6E0,Brooklyn
3366,West End Ave & W 107 St,40.8021174,-73.9681805305,Upper West Side,30,31,NYC,#FFBF00,Manhattan
3367,5 Ave & E 103 St,40.792255299999994,-73.95249933,East Harlem,39,39,NYC,#D05E56,Manhattan
3368,5 Ave & 3 St,40.672815500000006,-73.98352355,Park Slope,0,30,NYC,#FAF6E0,Brooklyn
3369,E 82 St & East End Ave,40.7724607,-73.9468208,Yorkville,23,29,NYC,#797D88,Manhattan
3370,E 78 St & 2 Ave,40.7727966,-73.95577801,Upper East Side,22,25,NYC,#3FCAE6,Manhattan
3371,4 Ave & 2 St,40.674613422475815,-73.98501142859459,Park Slope,0,27,NYC,#FAF6E0,Brooklyn
3372,E 74 St & 1 Ave,40.7689738,-73.95482273,Upper East Side,26,39,NYC,#3FCAE6,Manhattan
3373,3 St & 3 Ave,40.675070500000004,-73.98775226,Gowanus,3,27,NYC,#BAA891,Brooklyn
3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,Central Park,30,36,NYC,#A6D878,Manhattan
3375,3 Ave & E 72 St,40.7699426,-73.96060712,Upper East Side,32,35,NYC,#3FCAE6,Manhattan
3376,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,Lenox Hill,38,39,NYC,#CBA9D7,Manhattan
3377,Carroll St & Bond St,40.6786115,-73.99037292,Gowanus,0,25,NYC,#BAA891,Brooklyn
3378,E 76 St & Park Ave,40.773763,-73.96222088,Upper East Side,25,28,NYC,#3FCAE6,Manhattan
3379,E 103 St & Lexington Ave,40.790305100000005,-73.94755757,East Harlem,28,35,NYC,#D05E56,Manhattan
3381,3 St & Hoyt St,40.6777287,-73.99364123,Carroll Gardens,7,21,NYC,#00953D,Brooklyn
3382,Carroll St & Smith St,40.680611,-73.99475825,Boerum Hill Historic District,8,31,NYC,#5878BA,Brooklyn
3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,Upper West Side,23,25,NYC,#FFBF00,Manhattan
3384,Smith St & 3 St,40.678724200000005,-73.99599099,Boerum Hill Historic District,5,25,NYC,#5878BA,Brooklyn
3386,1 Pl & Clinton St,40.6809591,-73.99905709,Carroll Gardens,14,27,NYC,#00953D,Brooklyn
3387,E 106 St & Madison Ave,40.79343370000001,-73.94945003,East Harlem,22,25,NYC,#D05E56,Manhattan
3388,President St & Henry St,40.6828003,-73.99990419,Cobble Hill,10,25,NYC,#F2F2C9,Brooklyn
3389,Carroll St & Columbia St,40.6830456,-74.00348559,Columbia Street Waterfront District,1,28,NYC,#FF9966,Brooklyn
3390,E 109 St & 3 Ave,40.79329668,-73.9432083,Upper East Side,21,24,NYC,#3FCAE6,Manhattan
3391,E 106 St & 1 Ave,40.7892529,-73.93956237,East Harlem,4,25,NYC,#D05E56,Manhattan
3392,Commerce St & Van Brunt St,40.681211700000006,-74.00860912,Red Hook,3,19,NYC,#9CC925,Brooklyn
3393,Richards St & Delavan St,40.67943270000001,-74.00785041,Red Hook,1,19,NYC,#9CC925,Brooklyn
3394,Columbia St & W 9 St,40.6769993,-74.00647134,Red Hook,0,21,NYC,#9CC925,Brooklyn
3396,Clinton St & 4 Place,40.6783563,-74.00014502,Carroll Gardens,6,25,NYC,#00953D,Brooklyn
3397,Court St & Nelson St,40.6763947,-73.99869893,Carroll Gardens,2,25,NYC,#00953D,Brooklyn
3398,Smith St & 9 St,40.67469570000001,-73.99785768,Carroll Gardens,5,23,NYC,#00953D,Brooklyn
3399,7 St & 3 Ave,40.67260298150126,-73.98983001708984,Park Slope,3,24,NYC,#FAF6E0,Brooklyn
3400,E 110 St & Madison Ave,40.796153499999996,-73.94782145,East Harlem,22,24,NYC,#D05E56,Manhattan
3401,2 Ave & 9 St,40.6724811,-73.99331394,Carroll Gardens,0,19,NYC,#00953D,Brooklyn
3402,Court St & State St,40.6902375,-73.99203074,Cobble Hill,0,23,NYC,#F2F2C9,Brooklyn
3403,4 Ave & 9 St,40.6705135,-73.98876585,Park Slope,2,31,NYC,#FAF6E0,Brooklyn
3404,7 St & 5 Ave,40.670492200000005,-73.98541675,Park Slope,1,27,NYC,#FAF6E0,Brooklyn
3405,5 St & 6 Ave,40.670483600000004,-73.98208968,Park Slope,7,23,NYC,#FAF6E0,Brooklyn
3407,Union St & Nevins St,40.67909799721684,-73.98765474557877,Gowanus,3,23,NYC,#BAA891,Brooklyn
3408,Congress St & Clinton St,40.6881529,-73.99520919,Cobble Hill Historic District,2,27,NYC,#893D39,Brooklyn
3409,Bergen St & Smith St,40.686744299999994,-73.99063168,Cobble Hill Historic District,4,35,NYC,#893D39,Brooklyn
3410,Dean St & Hoyt St,40.686444200000004,-73.98759104,Boerum Hill Historic District,1,31,NYC,#5878BA,Brooklyn
3411,Bond St & Bergen St,40.6849668,-73.98620772,Boerum Hill Historic District,9,27,NYC,#5878BA,Brooklyn
3412,Pacific St & Nevins St,40.6853761,-73.98302136,Boerum Hill Historic District,12,18,NYC,#5878BA,Brooklyn
3413,Wyckoff St & 3 Ave,40.6827549,-73.98258555,Boerum Hill Historic District,7,22,NYC,#5878BA,Brooklyn
